# Snippets Elixir rejects that ElixirSnippetErrorReportingTestCase expects the plugin not to report as an error:
#
#     <snippet hash>	<Elixir versions, comma-separated>	<the snippet, for reading>
#
# Each listed test must fail on every version listed, and must exist there. In the snippet, \n is a newline and \u{...}
# a code point.
04379dcd43fdfb1a	1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	[{:\u{430}dmin, 1}]
0b33b4614b11a0a5	1.18.4,1.19.5,1.20.4	a.'\u{110000}'
0d14d355ca9a6360	1.11.4,1.12.3,1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	Fo\u{F3}
0d7e4719cb20e55d	1.11.4,1.12.3,1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	__block__
0d943dd0ce24300d	1.11.4,1.12.3,1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	123_456_foo
10948c2a559432e4	1.11.4,1.12.3,1.13.4	require (..)
1119e4c96c9a53a8	1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	if \u{430}dmin_, do: :ok, else: :err
166f124f2d0a8383	1.11.4,1.12.3,1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	[foo 1, 2]
1766ec74adefff94	1.19.5,1.20.4	# This is a \u{2028}
195b3d1d6e37a8d3	1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	"this is a \\u{202A}"
1f6c06216365f0b7	1.11.4,1.12.3,1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	:"+".Bar
240d0df31ff656ba	1.11.4,1.12.3,1.13.4	c\u{327}
24c56ef57c0a11a8	1.11.4,1.12.3,1.13.4	assert {.., :ok}
27c4753643400727	1.11.4,1.12.3	-(2**2)
28a4647e8ba64610	1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	foo\u{6CC}\u{1D6B3}
2c0b046781056c7c	1.13.4,1.14.5,1.15.8,1.16.3,1.17.3,1.18.4,1.19.5,1.20.4	"this is a \u{202A}"
